"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"smt3"	2.33323464277906e-108	0.410634957687265	0.995	0.94	4.61000500720286e-104	"0"	"smt3"
"Bacc"	5.19123622114138e-107	0.332480380256044	0.999	0.991	1.02568445257311e-102	"0"	"Bacc"
"Df31"	2.11872628136102e-91	0.31439793381526	1	0.992	4.1861793867131e-87	"0"	"Df31"
"His4r"	8.18839495076931e-85	0.410163738013611	0.969	0.887	1.617863074373e-80	"0"	"His4r"
"Cam"	1.51240382107122e-83	0.39024750408768	0.972	0.926	2.98820746967252e-79	"0"	"Cam"
"HmgD"	5.60677811046329e-73	0.344196740087168	0.994	0.958	1.10778721906534e-68	"0"	"HmgD"
"tsr"	3.01509124842161e-60	0.25332465409482	0.989	0.965	5.95721728863143e-56	"0"	"tsr"
"chic"	2.7771894084972e-53	0.318988624917577	0.952	0.915	5.48717083330877e-49	"0"	"chic"
"14-3-3epsilon"	2.63794431603208e-52	0.299291573581255	0.99	0.95	5.21205037961618e-48	"0"	"14-3-3epsilon"
"His2Av"	5.94874661794964e-51	0.298002554504394	0.975	0.926	1.17535335677449e-46	"0"	"His2Av"
"CG1943"	1.1212300519542e-48	0.359919721262526	0.911	0.836	2.21532633665111e-44	"0"	"CG1943"
"Oda"	3.27117533844347e-42	0.316200208472019	0.923	0.839	6.46318823369661e-38	"0"	"Oda"
"Ran"	2.00698975618475e-40	0.301902636401628	0.936	0.906	3.96541036026983e-36	"0"	"Ran"
"His3.3B"	8.5555821219592e-40	0.268264140094421	0.983	0.942	1.6904119156567e-35	"0"	"His3.3B"
"FK506-bp2"	4.91008970887485e-39	0.295412825939755	0.939	0.894	9.70135524679494e-35	"0"	"FK506-bp2"
"lolal"	2.86442201703302e-34	0.321511855781736	0.907	0.86	5.65952502125384e-30	"0"	"lolal"
"HmgZ"	3.4692293044648e-33	0.355995510802836	0.847	0.795	6.85450325976155e-29	"0"	"HmgZ"
"Set"	7.6724425069808e-32	0.320977727661133	0.837	0.819	1.51592119052927e-27	"0"	"Set"
"Su(var)205"	2.04668016449503e-28	0.286418011532934	0.894	0.865	4.04383066900928e-24	"0"	"Su(var)205"
"SkpA"	2.48330594565519e-24	0.293364706323866	0.833	0.797	4.90651588742552e-20	"0"	"SkpA"
"eff"	1.14266674436331e-23	0.256883960801034	0.869	0.842	2.25768095351304e-19	"0"	"eff"
"His3.3A"	4.11862491190561e-21	0.271298675544351	0.821	0.824	8.1375791009431e-17	"0"	"His3.3A"
"Atg8a"	4.36156039084816e-20	0.318768655863655	0.786	0.779	8.6175710202378e-16	"0"	"Atg8a"
"Akap200"	7.49431262749069e-20	0.252850350243387	0.886	0.895	1.48072628893961e-15	"0"	"Akap200"
"Arf79F"	1.81250190983745e-19	0.274622866041203	0.836	0.803	3.58114127345683e-15	"0"	"Arf79F"
"Ilp4"	8.34978878833651e-18	0.255430752462462	0.675	0.659	1.64975126879953e-13	"0"	"Ilp4"
"Ntf-2"	4.07912458564552e-13	0.252336085292949	0.77	0.801	8.05953435631842e-09	"0"	"Ntf-2"
"pDsRed"	4.51177698481435e-13	0.26155166327164	0.571	0.572	8.91436896659619e-09	"0"	"pDsRed"
"ben"	2.16996583651842e-11	0.343618735930324	0.599	0.682	4.28741849979309e-07	"0"	"ben"
"CG15715"	3.07462773600296e-10	0.273626370143189	0.659	0.709	6.07484948079466e-06	"0"	"CG15715"
"TfIIA-S"	4.5355796554746e-09	0.278789001981334	0.629	0.692	8.96139828328671e-05	"0"	"TfIIA-S"
"CG34159"	1.00072320374198e-07	0.275489440212862	0.628	0.691	0.00197722890595341	"0"	"CG34159"
"mago"	2.00504324198754e-07	0.271792260123649	0.579	0.671	0.00396156443751899	"0"	"mago"
"CG17493"	8.21485421463231e-07	0.265394143481434	0.584	0.65	0.0162309089572705	"0"	"CG17493"
"Dlc90F"	3.00790627333578e-05	0.285332870161956	0.549	0.65	0.594302121485683	"0"	"Dlc90F"
"CG32276"	5.70744169632118e-05	0.270928211887183	0.544	0.646	1	"0"	"CG32276"
"Bin1"	0.000107546372895297	0.278726979102054	0.543	0.637	1	"0"	"Bin1"
"CG13298"	0.000588650721544838	0.251413863264373	0.549	0.642	1	"0"	"CG13298"
"mt:lrRNA"	3.26855052792536e-272	0.546394499471051	1	0.996	6.45800213307493e-268	"1"	"mt:lrRNA"
"mt:CoIII"	5.9126697070588e-163	0.445450574236284	0.993	0.986	1.16822528072068e-158	"1"	"mt:CoIII"
"mt:Cyt-b"	6.81122466745816e-155	0.426239794297887	1	0.991	1.34576176979638e-150	"1"	"mt:Cyt-b"
"mt:CoII"	3.33276441017069e-150	0.440956572573906	0.993	0.981	6.58487592161525e-146	"1"	"mt:CoII"
"mt:ATPase6"	7.19459079254037e-116	0.433416210508071	0.998	0.992	1.42150724879013e-111	"1"	"mt:ATPase6"
"mt:CoI"	2.48195184100828e-112	0.416434510777434	0.997	0.992	4.90384044746415e-108	"1"	"mt:CoI"
"mt:ND4"	3.45124822772802e-85	0.436746503674311	0.956	0.917	6.81897624834503e-81	"1"	"mt:ND4"
"mt:ND2"	1.01603553443805e-70	0.399329200909927	0.891	0.855	2.00748300894271e-66	"1"	"mt:ND2"
"mt:ND3"	3.46359033144158e-67	0.464743974663047	0.926	0.874	6.84336177686227e-63	"1"	"mt:ND3"
"RpL41"	3.75154593337445e-62	0.275234225701165	0.994	0.986	7.41230445516123e-58	"1"	"RpL41"
"mt:ND1"	9.83120195941322e-62	0.416037668226158	0.95	0.914	1.94244888314086e-57	"1"	"mt:ND1"
"mt:ND5"	9.52693919700277e-60	0.398598962957101	0.912	0.888	1.88233264654381e-55	"1"	"mt:ND5"
"mt:ND6"	1.72741148317346e-55	0.431404074197657	0.833	0.798	3.41301960845412e-51	"1"	"mt:ND6"
"mt:ATPase8"	6.50201676007336e-54	0.40127250789074	0.846	0.793	1.28466847145529e-49	"1"	"mt:ATPase8"
"mt:srRNA"	2.63065588337201e-32	0.403182978599788	0.783	0.774	5.19764989436642e-28	"1"	"mt:srRNA"
"Dl"	5.92583367871365e-32	0.465837266517018	0.818	0.836	1.17082621824024e-27	"1"	"Dl"
"hth"	2.8238180508304e-21	0.580074252842015	0.86	0.917	5.57929970483071e-17	"1"	"hth"
"dally"	7.10811117362776e-16	0.552489477338993	0.301	0.221	1.40442060568537e-11	"1"	"dally"
"Lac"	1.03869835348603e-14	0.260476674234749	0.802	0.816	2.0522602068177e-10	"1"	"Lac"
"Antp"	1.37600298811459e-14	0.63854765977971	0.435	0.365	2.71870670391682e-10	"1"	"Antp"
"N"	1.03058983105608e-13	0.401437606416107	0.652	0.696	2.03623938820061e-09	"1"	"N"
"Meltrin"	9.4256873985222e-12	0.416481709206297	0.301	0.234	1.86232731620002e-07	"1"	"Meltrin"
"roX1"	9.71860741375798e-12	0.486156429525963	0.826	0.889	1.9202024528103e-07	"1"	"roX1"
"Gp150"	4.04672136641366e-11	0.342975928255933	0.595	0.622	7.99551207576011e-07	"1"	"Gp150"
"mt:tRNA:A"	1.88073225866894e-09	0.379093293656457	0.53	0.56	3.71595079667809e-05	"1"	"mt:tRNA:A"
"sca"	2.70133586985163e-09	0.544363470493564	0.44	0.43	5.33729941165285e-05	"1"	"sca"
"crb"	1.21081823255174e-08	0.328917836980087	0.433	0.409	0.000239233466387573	"1"	"crb"
"Ptr"	1.78831684444226e-08	0.317175152538572	0.508	0.493	0.000353335642124902	"1"	"Ptr"
"wb"	6.54287932368165e-08	0.51027777820119	0.344	0.299	0.00129274209677302	"1"	"wb"
"bib"	2.08486534171368e-07	0.309684297635472	0.448	0.445	0.00411927694215788	"1"	"bib"
"ci"	4.28162557352176e-07	0.32431826185653	0.597	0.646	0.00845963580816429	"1"	"ci"
"sog"	6.12112986780175e-07	0.659373463441021	0.47	0.479	0.0120941283928027	"1"	"sog"
"lea"	1.49068356963229e-06	0.380643290014652	0.493	0.526	0.0294529259687947	"1"	"lea"
"mew"	5.99533960204264e-06	0.390572884414993	0.364	0.347	0.118455919857158	"1"	"mew"
"ths"	8.97899161198062e-05	0.358918848062931	0.355	0.326	1	"1"	"ths"
"shg"	0.000148074739113555	0.274494983205976	0.493	0.534	1	"1"	"shg"
"sbb"	0.000230786462329506	0.42174113822964	0.515	0.576	1	"1"	"sbb"
"trn"	0.000628184147277859	0.427424881852003	0.545	0.608	1	"1"	"trn"
"blot"	0.00514197481926726	0.311515907525734	0.352	0.361	1	"1"	"blot"
