"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"
"1"	2.38565522617541e-190	0.836042558534245	0.519	0.109	4.17322668714864e-186	0	"CG14423"	FALSE
"2"	6.85847213821776e-136	0.779294904450738	0.996	0.979	1.19975253113843e-131	0	"mt:Cyt-b"	FALSE
"3"	3.47344052172474e-115	0.753835612167693	0.929	0.745	6.07608950465309e-111	0	"Rdl"	FALSE
"4"	9.48753306168816e-115	1.09333666248949	0.851	0.66	1.65965415848111e-110	0	"Cngl"	FALSE
"5"	4.4498462740347e-112	0.774225735968419	0.903	0.711	7.7841160871689e-108	0	"Sh"	FALSE
"6"	9.2397282296214e-112	0.729159803345409	0.957	0.886	1.61630565920767e-107	0	"shep"	FALSE
"7"	9.1873860210478e-111	1.20520864102903	0.58	0.288	1.60714943666189e-106	0	"lncRNA:CR44832"	FALSE
"8"	3.07797199904595e-109	0.791903654160261	0.883	0.708	5.38429641793109e-105	0	"Pdp1"	TRUE
"9"	1.33617754555034e-108	0.909545519610501	0.9	0.753	2.33737538043121e-104	0	"nAChRalpha6"	FALSE
"10"	6.02391746267851e-106	0.783569600293361	0.855	0.643	1.05376388174635e-101	0	"dysc"	FALSE
"11"	1.34826568762987e-105	0.631568231447472	0.939	0.85	2.35852116737093e-101	0	"Syx1A"	FALSE
"12"	3.35696371928202e-102	0.664018876744444	0.998	0.986	5.87233663414003e-98	0	"mt:CoIII"	FALSE
"13"	5.81830516939692e-97	0.777146333314823	0.869	0.624	1.0177961232826e-92	0	"para"	FALSE
"14"	2.87690586619168e-96	0.811028022422343	0.782	0.536	5.0325714317291e-92	0	"slo"	FALSE
"15"	2.43174980612394e-95	0.58768587629343	0.956	0.823	4.25385993585261e-91	0	"fne"	FALSE
"16"	1.17331497744594e-91	0.745184259108075	0.854	0.65	2.05247989004618e-87	0	"futsch"	FALSE
"17"	2.45726389926195e-87	0.559495693773537	0.908	0.757	4.29849173897892e-83	0	"CG7781"	FALSE
"18"	1.16721319333488e-80	0.856369424040242	0.793	0.618	2.04180603910071e-76	0	"jeb"	FALSE
"19"	4.4402579055963e-78	0.626542461971819	0.859	0.774	7.7673431542596e-74	0	"Bsg"	FALSE
"20"	1.00421423112891e-76	0.610809789437328	0.929	0.836	1.7566719545138e-72	0	"bru3"	FALSE
"21"	9.1737724502658e-75	0.662229828517546	0.857	0.693	1.604768014725e-70	0	"Rbp6"	FALSE
"22"	1.36766092640513e-74	0.79943279188644	0.739	0.532	2.39244925856049e-70	0	"mmd"	FALSE
"23"	5.59247024564747e-74	0.633102160753343	0.854	0.738	9.78290820071112e-70	0	"Eip75B"	TRUE
"24"	6.62090616521378e-70	0.648749548180759	0.996	0.988	1.15819511548085e-65	0	"mt:CoII"	FALSE
"25"	9.43991935074364e-68	0.750167760374093	0.769	0.625	1.65132509202558e-63	0	"sdt"	FALSE
"26"	3.3647945939325e-67	1.32001467438844	0.46	0.238	5.88603518316613e-63	0	"CG12239"	FALSE
"27"	4.56425516532996e-67	0.643712019318675	0.996	0.983	7.9842515607117e-63	0	"mt:CoI"	FALSE
"28"	9.41311363677293e-67	0.748512736086176	1	0.999	1.64663596848069e-62	0	"mt:lrRNA"	FALSE
"29"	4.75864776331481e-65	0.732697885313109	0.894	0.834	8.32430253236659e-61	0	"Ten-a"	FALSE
"30"	1.6194845027355e-64	0.631127410710929	0.993	0.984	2.8329642406352e-60	0	"mt:ATPase6"	FALSE
"31"	5.80113301383721e-64	0.603937801625567	0.931	0.919	1.01479219811054e-59	0	"pum"	FALSE
"32"	1.39100440044811e-61	0.713812543621955	0.714	0.532	2.43328399770388e-57	0	"CG11000"	FALSE
"33"	3.86019187615252e-61	0.593252806476113	0.85	0.784	6.75263364895361e-57	0	"nmo"	FALSE
"34"	2.20538257538506e-59	0.754396914080683	0.683	0.495	3.85787573912109e-55	0	"SK"	FALSE
"35"	5.31443616447546e-58	0.842629565665711	0.582	0.387	9.29654318251692e-54	0	"Hk"	FALSE
"36"	7.1591804159819e-55	0.704101450158227	0.643	0.494	1.25235543016771e-50	0	"kcc"	FALSE
"37"	1.35731202207878e-54	0.879745876560028	0.534	0.346	2.37434592022241e-50	0	"nAChRalpha7"	FALSE
"38"	3.22971689157576e-54	0.629296098157099	0.745	0.578	5.64974375843348e-50	0	"Ih"	FALSE
"39"	1.03000025414962e-53	0.785434396403268	0.676	0.498	1.80177944458394e-49	0	"Nlg3"	FALSE
"40"	1.70175518378499e-53	0.64022206453016	0.698	0.556	2.97688034299508e-49	0	"nAChRbeta1"	FALSE
"41"	5.18270304362284e-51	0.948010964201781	0.516	0.338	9.06610243420944e-47	0	"Hr4"	FALSE
"42"	2.36753048985522e-50	0.81873568822147	0.715	0.564	4.14152108590374e-46	0	"klg"	FALSE
"43"	4.57630148197374e-47	0.620833711288586	0.694	0.526	8.00532418241666e-43	0	"CG42613"	FALSE
"44"	2.46272899913356e-46	0.782924246539241	0.781	0.714	4.30805183818433e-42	0	"Ptp99A"	FALSE
"45"	9.32830028602583e-45	0.622269702906778	0.752	0.67	1.6317995690345e-40	0	"Mkp3"	FALSE
"46"	3.75301554498956e-44	0.583591082096215	0.774	0.743	6.56515009285024e-40	0	"CG10077"	FALSE
"47"	4.36933966591318e-43	0.551316421363584	0.744	0.658	7.64328587758192e-39	0	"dlg1"	FALSE
"48"	1.24408071971896e-42	0.56503603747811	0.708	0.584	2.17627040300438e-38	0	"tutl"	FALSE
"49"	2.49517889383508e-42	0.927401251922339	0.736	0.635	4.3648164389857e-38	0	"mbl"	FALSE
"50"	9.52221978881104e-42	0.827963601254514	0.583	0.444	1.66572190765671e-37	0	"CG4577"	FALSE
"51"	1.82553809549868e-39	0.868450839269769	0.668	0.551	3.19341379045584e-35	0	"luna"	TRUE
"52"	8.81838438887548e-39	0.591223532314203	0.66	0.531	1.54259998114599e-34	0	"cac"	FALSE
"53"	1.84376456655261e-38	0.82118881769755	0.497	0.341	3.22529735627049e-34	0	"nAChRalpha3"	FALSE
"54"	1.28767365240219e-37	0.977394364560477	0.531	0.369	2.25252752014715e-33	0	"shakB"	FALSE
"55"	3.51781769535685e-34	0.777790841758062	0.461	0.31	6.15371849448774e-30	0	"Octbeta3R"	FALSE
"56"	3.28551260613095e-33	0.715343405410512	0.816	0.809	5.74734720190487e-29	0	"mt:ND5"	FALSE
"57"	1.8685585698934e-32	0.703658219879648	0.574	0.447	3.26866950631452e-28	0	"CG42541"	FALSE
"58"	1.50600139258652e-31	0.666424873034665	0.592	0.448	2.6344482360516e-27	0	"CG42750"	FALSE
"59"	1.51018712010402e-31	0.641076331842062	0.6	0.477	2.64177032919796e-27	0	"Pde6"	FALSE
"60"	7.98675024462014e-31	0.610253872353744	0.642	0.519	1.3971222202914e-26	0	"Pde9"	FALSE
"61"	1.61444527666166e-30	0.676549259983714	0.622	0.52	2.82414912246425e-26	0	"CG43729"	FALSE
"62"	1.70459989539694e-29	0.725101775815746	0.687	0.643	2.98185659701786e-25	0	"Sxl"	FALSE
"63"	2.71052847108268e-29	0.684767780788572	0.517	0.408	4.74152745446494e-25	0	"Syn1"	FALSE
"64"	2.26476485317445e-28	0.736608944408004	0.481	0.362	3.96175315765807e-24	0	"nrm"	FALSE
"65"	7.90816030157735e-28	0.621775553997987	0.574	0.453	1.38337448155493e-23	0	"GluRIB"	FALSE
"66"	4.33438545262542e-26	0.558618413646482	0.552	0.452	7.58214047227765e-22	0	"CG42540"	FALSE
"67"	7.03248503650632e-26	0.559348754746247	0.612	0.517	1.23019260743605e-21	0	"CG32017"	FALSE
"68"	1.10238897729438e-25	0.662732798750178	0.565	0.46	1.92840903798106e-21	0	"sif"	FALSE
"69"	1.17737883714591e-25	0.55919837529263	0.58	0.467	2.05958879981934e-21	0	"Toll-6"	FALSE
"70"	2.31772676379714e-24	0.696696546666624	0.522	0.411	4.05439942791033e-20	0	"dpr1"	FALSE
"71"	4.51092338825589e-24	0.783149895271141	0.515	0.423	7.89095828307603e-20	0	"CG45263"	FALSE
"72"	1.52307342740015e-23	0.594087875502527	0.552	0.497	2.66431234655109e-19	0	"Pur-alpha"	FALSE
"73"	1.03307236433282e-22	0.563651948789714	0.499	0.411	1.8071534869274e-18	0	"jef"	FALSE
"74"	1.17132774879066e-22	0.589613981781119	0.448	0.327	2.04900363095951e-18	0	"beat-IIIb"	FALSE
"75"	1.48334445692449e-21	0.598907998309039	0.817	0.817	2.59481445849801e-17	0	"mt:ND4"	FALSE
"76"	3.46906858985454e-21	0.644731957450768	0.413	0.295	6.06844168423254e-17	0	"CG32683"	FALSE
"77"	5.68727837182111e-21	0.733792243660137	0.471	0.375	9.94875605582666e-17	0	"Dscam2"	FALSE
"78"	7.01807263685886e-21	0.819870434378228	0.432	0.337	1.22767144636572e-16	0	"Vmat"	FALSE
"79"	1.6988516119739e-20	0.550219534102566	0.605	0.583	2.97180112482595e-16	0	"cdi"	FALSE
"80"	5.09552249197961e-20	0.622917384669353	0.471	0.369	8.91359749521994e-16	0	"dpr13"	FALSE
"81"	8.58134947945554e-20	0.706717060840699	0.365	0.251	1.50113546444116e-15	0	"CG8861"	FALSE
"82"	1.36205836653842e-19	0.686949645090044	0.467	0.372	2.38264870058566e-15	0	"unc-13-4A"	FALSE
"83"	3.61135429585099e-19	0.555799068302743	0.342	0.239	6.31734206973213e-15	0	"CG14186"	FALSE
"84"	7.35353847675541e-19	0.587409913396607	0.516	0.418	1.28635448573882e-14	0	"side"	FALSE
"85"	7.96129026477604e-17	0.716229051292489	0.655	0.655	1.39266850601727e-12	0	"mt:ND6"	FALSE
"86"	4.62437280377389e-15	0.741766506269734	0.398	0.309	8.08941534564167e-11	0	"SPR"	FALSE
"87"	7.88134730054443e-15	0.600477452361452	0.411	0.325	1.37868408328424e-10	0	"Ca-alpha1T"	FALSE
"88"	1.54215591428749e-13	0.594564686954238	0.506	0.465	2.69769334086311e-09	0	"CG42389"	FALSE
"89"	1.11851448748421e-12	0.576104837198353	0.287	0.214	1.95661739295612e-08	0	"NPF"	FALSE
"90"	4.97748037981739e-12	0.553532432522893	0.498	0.469	8.70710642841456e-08	0	"CG17716"	FALSE
"91"	1.1242926066621e-11	0.66893932952432	0.326	0.25	1.96672505683401e-07	0	"CG32982"	FALSE
"92"	8.06871711285389e-11	0.572529304742979	0.407	0.347	1.41146068455153e-06	0	"Pvf3"	FALSE
"93"	9.56671454379642e-11	0.568363765138413	0.563	0.517	1.67350537514631e-06	0	"Fas2"	FALSE
"94"	3.85284257824776e-10	0.812786402571366	0.387	0.34	6.7397775221288e-06	0	"Ddc"	FALSE
"95"	5.07960852693002e-10	0.647690695675621	0.323	0.252	8.88575919615868e-06	0	"beat-IIIc"	FALSE
"96"	5.75586153849101e-10	0.553231231243943	0.386	0.355	1.00687285892823e-05	0	"Cip4"	FALSE
"97"	2.45970756147176e-09	0.578879906518512	0.365	0.305	4.30276643728255e-05	0	"fred"	FALSE
"98"	3.49512628601165e-08	0.60766942101489	0.309	0.246	0.000611402441212017	0	"CG13739"	FALSE
"99"	9.31083333891018e-07	0.561713539366619	0.296	0.247	0.0162874407597556	0	"Hr38"	TRUE
"100"	9.50156911810033e-06	0.552404135227603	0.603	0.651	0.166210948582929	0	"heph"	FALSE
"101"	9.2818260250876e-230	0.660092121474158	1	0.988	1.62366982656857e-225	1	"14-3-3zeta"	FALSE
"102"	6.92231756886418e-228	0.943777875060702	1	0.752	1.21092101232141e-223	1	"His3.3B"	FALSE
"103"	8.46890298285753e-213	0.643604914203508	0.667	0.145	1.48146519879127e-208	1	"Tsp42Ek"	FALSE
"104"	3.45703161326777e-211	0.942613505036042	1	0.941	6.0473854010893e-207	1	"Cam"	FALSE
"105"	3.01163960752978e-176	0.541560769835025	1	0.966	5.26826116545184e-172	1	"14-3-3epsilon"	FALSE
"106"	3.94709913349319e-176	0.694848500502796	0.999	0.835	6.90466051421964e-172	1	"miple1"	FALSE
"107"	1.73861980338847e-175	0.77046714063004	0.904	0.362	3.04136762206745e-171	1	"Syn"	FALSE
