"","allen","avalos","similarity","regroup"
"1",NA,"avalos_12;avalos_14",0.27,1
"2","allen_148","avalos_17",0.26,2
"3","allen_115;allen_121;allen_122;allen_129;allen_145;allen_44;allen_80",NA,0.24,3
"4","allen_103;allen_134",NA,0.16,4
"5","allen_131;allen_171",NA,0.11,5
"6","allen_102;allen_105;allen_11;allen_110;allen_114;allen_116;allen_123;allen_130;allen_132;allen_133;allen_136;allen_137;allen_139;allen_142;allen_144;allen_152;allen_153;allen_156;allen_16;allen_163;allen_165;allen_19;allen_23;allen_24;allen_25;allen_26;allen_27;allen_28;allen_3;allen_32;allen_36;allen_38;allen_39;allen_4;allen_46;allen_47;allen_5;allen_51;allen_58;allen_59;allen_6;allen_60;allen_65;allen_71;allen_84;allen_85;allen_88;allen_9;allen_91;allen_96;allen_98",NA,0.1,6
"7","allen_0;allen_10;allen_101;allen_106;allen_118;allen_120;allen_13;allen_135;allen_14;allen_146;allen_15;allen_150;allen_155;allen_158;allen_160;allen_164;allen_18;allen_2;allen_22;allen_30;allen_34;allen_35;allen_37;allen_40;allen_41;allen_43;allen_49;allen_54;allen_57;allen_62;allen_64;allen_68;allen_70;allen_75;allen_76;allen_77;allen_78;allen_8",NA,0.08,7
"8","allen_1;allen_100;allen_104;allen_107;allen_108;allen_109;allen_111;allen_112;allen_113;allen_117;allen_119;allen_12;allen_124;allen_125;allen_126;allen_127;allen_128;allen_138;allen_140;allen_141;allen_143;allen_147;allen_151;allen_157;allen_159;allen_161;allen_162;allen_166;allen_167;allen_168;allen_17;allen_170;allen_172;allen_173;allen_20;allen_21;allen_29;allen_31;allen_33;allen_42;allen_45;allen_48;allen_50;allen_52;allen_53;allen_55;allen_56;allen_61;allen_63;allen_66;allen_67;allen_69;allen_7;allen_72;allen_73;allen_74;allen_79;allen_81;allen_82;allen_83;allen_86;allen_87;allen_89;allen_90;allen_92;allen_93;allen_94;allen_95;allen_97;allen_99","avalos_0;avalos_1;avalos_2;avalos_3;avalos_4;avalos_5;avalos_9",0.07,8
"9","allen_154;allen_169",NA,0.06,9
"10",NA,"avalos_10;avalos_11;avalos_13;avalos_15;avalos_16;avalos_18;avalos_6;avalos_7;avalos_8",0.05,10
"11","allen_149",NA,NA,11
