"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"whe"	0	1.4500688830692	0.521	0.176	0	"0"	"whe"
"CG45080"	0	1.3597188529034	0.368	0.122	0	"0"	"CG45080"
"CG16826"	0	1.2716582967255	0.288	0.095	0	"0"	"CG16826"
"CG34212"	0	1.23677437014576	0.415	0.143	0	"0"	"CG34212"
"MRE16"	0	0.590239282291526	0.964	0.964	0	"0"	"MRE16"
"mt:CoII"	0	0.521488393816393	0.974	0.99	0	"0"	"mt:CoII"
"mt:CoI"	0	0.508490831667463	0.975	0.991	0	"0"	"mt:CoI"
"RpS16"	0	0.404712921290232	0.185	0.435	0	"0"	"RpS16"
"noe"	0	0.404414982275019	1	0.999	0	"0"	"noe"
"mt:Cyt-b"	0	0.402871116311749	0.933	0.98	0	"0"	"mt:Cyt-b"
"mt:CoIII"	0	0.401991658420531	0.933	0.98	0	"0"	"mt:CoIII"
"RpS18"	0	0.378942704873571	0.189	0.457	0	"0"	"RpS18"
"RpS15Aa"	0	0.356655202573075	0.212	0.49	0	"0"	"RpS15Aa"
"RpL9"	0	0.342797245309359	0.141	0.386	0	"0"	"RpL9"
"RpS23"	0	0.327496351775433	0.153	0.409	0	"0"	"RpS23"
"ND-20"	0	0.31137741275395	0.144	0.403	0	"0"	"ND-20"
"eIF3m"	0	0.309854259258163	0.124	0.374	0	"0"	"eIF3m"
"ND-B17.2"	0	0.297751568030556	0.221	0.509	0	"0"	"ND-B17.2"
"ND-15"	0	0.288268631985646	0.143	0.413	0	"0"	"ND-15"
"Tctp"	0	0.281979720069118	0.089	0.282	0	"0"	"Tctp"
"eIF3i"	0	0.271376409011994	0.09	0.322	0	"0"	"eIF3i"
"RpL34a"	0	0.263364851245252	0.073	0.268	0	"0"	"RpL34a"
"Ip259"	0	0.250899126905024	0.117	0.358	0	"0"	"Ip259"
"ND-B14.5B"	0	0.250187356569036	0.158	0.447	0	"0"	"ND-B14.5B"
"RpL36A"	4.38818750122473e-306	0.381707701986418	0.21	0.478	6.40236556428688e-302	"0"	"RpL36A"
"Tom7"	1.10341336684506e-293	0.380850384473903	0.209	0.472	1.60988010222694e-289	"0"	"Tom7"
"RpS24"	2.08677304563482e-288	0.311136501612412	0.248	0.546	3.04460187358121e-284	"0"	"RpS24"
"RpL30"	2.75892731290875e-276	0.430769377842936	0.193	0.434	4.02527494953386e-272	"0"	"RpL30"
