"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"	"SoxN_bind"	"SoxN_target"	"D_bind"	"D_target"
2.38565522617541e-190	0.836042558534245	0.519	0.109	4.17322668714864e-186	0	"CG14423"	FALSE	FALSE	FALSE	FALSE	FALSE
7.20132495477102e-177	0.401849886826556	0.806	0.48	1.2597277743381e-172	0	"Gat"	FALSE	FALSE	FALSE	FALSE	FALSE
1.97552098492735e-147	0.2769655048275	0.764	0.468	3.45577885893341e-143	0	"Gs2"	FALSE	FALSE	FALSE	TRUE	TRUE
5.68292652203942e-140	0.451365109414061	0.736	0.429	9.94114336500356e-136	0	"alrm"	FALSE	FALSE	FALSE	FALSE	FALSE
6.85847213821776e-136	0.779294904450738	0.996	0.979	1.19975253113843e-131	0	"mt:Cyt-b"	FALSE	FALSE	FALSE	FALSE	FALSE
3.47344052172474e-115	0.753835612167693	0.929	0.745	6.07608950465309e-111	0	"Rdl"	FALSE	FALSE	FALSE	FALSE	FALSE
9.48753306168816e-115	1.09333666248949	0.851	0.66	1.65965415848111e-110	0	"Cngl"	FALSE	FALSE	FALSE	FALSE	FALSE
5.92726247250721e-114	0.516042014801581	0.268	0.039	1.03685602431569e-109	0	"CG4116"	FALSE	TRUE	TRUE	FALSE	FALSE
4.4498462740347e-112	0.774225735968419	0.903	0.711	7.7841160871689e-108	0	"Sh"	FALSE	FALSE	FALSE	TRUE	TRUE
9.2397282296214e-112	0.729159803345409	0.957	0.886	1.61630565920767e-107	0	"shep"	FALSE	TRUE	FALSE	TRUE	FALSE
9.1873860210478e-111	1.20520864102903	0.58	0.288	1.60714943666189e-106	0	"lncRNA:CR44832"	FALSE	FALSE	FALSE	FALSE	FALSE
3.07797199904595e-109	0.791903654160261	0.883	0.708	5.38429641793109e-105	0	"Pdp1"	TRUE	TRUE	FALSE	FALSE	FALSE
1.33617754555034e-108	0.909545519610501	0.9	0.753	2.33737538043121e-104	0	"nAChRalpha6"	FALSE	FALSE	FALSE	FALSE	FALSE
6.02391746267851e-106	0.783569600293361	0.855	0.643	1.05376388174635e-101	0	"dysc"	FALSE	TRUE	FALSE	FALSE	FALSE
1.34826568762987e-105	0.631568231447472	0.939	0.85	2.35852116737093e-101	0	"Syx1A"	FALSE	FALSE	FALSE	FALSE	FALSE
3.35696371928202e-102	0.664018876744444	0.998	0.986	5.87233663414003e-98	0	"mt:CoIII"	FALSE	FALSE	FALSE	FALSE	FALSE
2.76340523409728e-97	0.524797248893739	0.965	0.881	4.83402477600637e-93	0	"Atpalpha"	FALSE	TRUE	FALSE	TRUE	TRUE
5.81830516939692e-97	0.777146333314823	0.869	0.624	1.0177961232826e-92	0	"para"	FALSE	TRUE	FALSE	TRUE	FALSE
2.87690586619168e-96	0.811028022422343	0.782	0.536	5.0325714317291e-92	0	"slo"	FALSE	TRUE	TRUE	TRUE	TRUE
2.43174980612394e-95	0.58768587629343	0.956	0.823	4.25385993585261e-91	0	"fne"	FALSE	FALSE	FALSE	TRUE	TRUE
1.17331497744594e-91	0.745184259108075	0.854	0.65	2.05247989004618e-87	0	"futsch"	FALSE	TRUE	FALSE	TRUE	FALSE
2.78039352025943e-88	0.465054382334031	0.278	0.06	4.86374238498982e-84	0	"CG3598"	FALSE	FALSE	FALSE	FALSE	FALSE
2.45726389926195e-87	0.559495693773537	0.908	0.757	4.29849173897892e-83	0	"CG7781"	FALSE	FALSE	FALSE	TRUE	TRUE
1.16721319333488e-80	0.856369424040242	0.793	0.618	2.04180603910071e-76	0	"jeb"	FALSE	TRUE	TRUE	TRUE	FALSE
4.4402579055963e-78	0.626542461971819	0.859	0.774	7.7673431542596e-74	0	"Bsg"	FALSE	FALSE	FALSE	TRUE	FALSE
1.00421423112891e-76	0.610809789437328	0.929	0.836	1.7566719545138e-72	0	"bru3"	FALSE	FALSE	FALSE	FALSE	FALSE
3.14559965956126e-76	0.438381409365498	0.833	0.707	5.50259748447052e-72	0	"CG14989"	FALSE	FALSE	FALSE	FALSE	FALSE
9.1737724502658e-75	0.662229828517546	0.857	0.693	1.604768014725e-70	0	"Rbp6"	FALSE	TRUE	TRUE	TRUE	FALSE
1.36766092640513e-74	0.79943279188644	0.739	0.532	2.39244925856049e-70	0	"mmd"	FALSE	FALSE	FALSE	FALSE	FALSE
5.59247024564747e-74	0.633102160753343	0.854	0.738	9.78290820071112e-70	0	"Eip75B"	TRUE	TRUE	TRUE	TRUE	TRUE
6.62090616521378e-70	0.648749548180759	0.996	0.988	1.15819511548085e-65	0	"mt:CoII"	FALSE	FALSE	FALSE	FALSE	FALSE
9.43991935074364e-68	0.750167760374093	0.769	0.625	1.65132509202558e-63	0	"sdt"	FALSE	TRUE	FALSE	TRUE	TRUE
1.2462340890155e-67	0.482519648835137	0.973	0.867	2.18003729191482e-63	0	"nrv3"	FALSE	FALSE	FALSE	FALSE	FALSE
3.3647945939325e-67	1.32001467438844	0.46	0.238	5.88603518316613e-63	0	"CG12239"	FALSE	FALSE	FALSE	FALSE	FALSE
