"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Capa"	0	1.10449335205161	0.596	0.216	0	"0"	"Capa"
"mt:lrRNA"	0	0.666616172738629	0.992	0.742	0	"0"	"mt:lrRNA"
"ATPsynF"	6.57881131256414e-225	0.867429333841131	0.67	0.355	9.59848570503108e-221	"0"	"ATPsynF"
"COX4"	1.37251862824762e-222	0.851221848111885	0.692	0.382	2.00250467861327e-218	"0"	"COX4"
"levy"	2.63150310359638e-202	0.88493627927437	0.65	0.371	3.83936302814711e-198	"0"	"levy"
"Nplp1"	1.1831643457053e-181	0.838347502380558	0.565	0.289	1.72623678038403e-177	"0"	"Nplp1"
"RpS2"	2.29550669224127e-167	0.783412884952221	0.656	0.393	3.34914426398001e-163	"0"	"RpS2"
"mt:ND6"	3.40975862477202e-163	0.636148414137338	0.655	0.371	4.97483783354238e-159	"0"	"mt:ND6"
"RpL24"	9.37328491638455e-161	0.851581260841209	0.559	0.311	1.36756226930051e-156	"0"	"RpL24"
"COX5A"	1.24526383519417e-160	0.847074821536837	0.597	0.356	1.8168399355483e-156	"0"	"COX5A"
"RpS26"	4.17009316420643e-151	0.848625888807737	0.551	0.318	6.08416592657718e-147	"0"	"RpS26"
"RFeSP"	1.12421077804751e-148	0.869953145688881	0.529	0.297	1.64022352517131e-144	"0"	"RFeSP"
"RpS10b"	7.89912135191423e-140	0.86989160927939	0.506	0.283	1.15248180524429e-135	"0"	"RpS10b"
"RpLP1"	1.54766931403977e-138	0.813438720898336	0.547	0.323	2.25804952918403e-134	"0"	"RpLP1"
"sta"	2.99914356290384e-138	0.790791027048355	0.563	0.335	4.3757504582767e-134	"0"	"sta"
"ATPsynB"	3.02789513566858e-128	0.790066353624296	0.537	0.323	4.41769900294046e-124	"0"	"ATPsynB"
"RpL6"	8.52354345661509e-119	0.776781565848327	0.527	0.326	1.24358499032014e-114	"0"	"RpL6"
"Pdf"	3.32083593020307e-116	0.768918794201555	0.385	0.176	4.84509962216627e-112	"0"	"Pdf"
"RpL13A"	4.07751389625616e-115	0.840876638385164	0.482	0.285	5.94909277463774e-111	"0"	"RpL13A"
"RpL37A"	6.73495941963963e-111	0.825287043762467	0.497	0.304	9.82630579325422e-107	"0"	"RpL37A"
"RpL18"	1.58471344581545e-106	0.819780738576561	0.465	0.277	2.31209691744474e-102	"0"	"RpL18"
"RpL37a"	1.25651548769474e-105	0.576479057307185	0.682	0.486	1.83325609654662e-101	"0"	"RpL37a"
"RpLP2"	2.69107053546956e-96	0.836555643663263	0.441	0.265	3.92627191125008e-92	"0"	"RpLP2"
"CG10527"	3.33853805642042e-96	0.883535742698483	0.352	0.174	4.87092702431739e-92	"0"	"CG10527"
"COX8"	7.98534019704726e-88	0.536271280603291	0.656	0.504	1.1650611347492e-83	"0"	"COX8"
"RpS8"	1.62448501637641e-84	0.699413648617521	0.506	0.344	2.37012363889319e-80	"0"	"RpS8"
"RpL13"	2.27347883721688e-79	0.767776838930754	0.443	0.289	3.31700562349942e-75	"0"	"RpL13"
"Lk"	3.13105469690558e-79	0.490156299559328	0.509	0.306	4.56820880278524e-75	"0"	"Lk"
"Orcokinin"	1.00414566493137e-78	0.536385101708056	0.464	0.268	1.46504852513486e-74	"0"	"Orcokinin"
"blw"	4.61476862527631e-78	0.58771333048081	0.563	0.412	6.73294742427814e-74	"0"	"blw"
"CG13056"	5.18948430849736e-76	0.541236125670722	0.49	0.298	7.57145760609766e-72	"0"	"CG13056"
"mt:ND5"	5.26438340282428e-76	0.531947875385345	0.565	0.393	7.68073538472062e-72	"0"	"mt:ND5"
"CG7215"	1.01301590140233e-56	0.603577278849333	0.498	0.383	1.47799020014601e-52	"0"	"CG7215"
"RpL17"	3.05962477036553e-56	0.747131224424839	0.4	0.278	4.4639925399633e-52	"0"	"RpL17"
"CG5010"	1.00758929190056e-50	0.882327003218237	0.324	0.214	1.47007277688291e-46	"0"	"CG5010"
"mt:ND1"	1.51374247634164e-46	0.332249499778249	0.613	0.501	2.20855027298245e-42	"0"	"mt:ND1"
"CR44832"	2.25760025113861e-45	0.837575380265577	0.302	0.175	3.29383876641123e-41	"0"	"CR44832"
"CG12239"	8.95091405168134e-44	0.603044647963561	0.298	0.172	1.30593836014031e-39	"0"	"CG12239"
"mt:ND2"	1.62318785812727e-43	0.67471656612781	0.331	0.216	2.36823108500768e-39	"0"	"mt:ND2"
"Proc"	6.99613361409538e-43	0.392962205948795	0.392	0.257	1.02073589429652e-38	"0"	"Proc"
"Gapdh1"	4.69243950250751e-41	0.711819383134076	0.357	0.256	6.84626923415846e-37	"0"	"Gapdh1"
"RpL34b"	5.58124384115745e-41	0.741816375983485	0.339	0.24	8.14303476424871e-37	"0"	"RpL34b"
"betaTub56D"	4.40698878103013e-38	0.489330057580624	0.469	0.38	6.42979663152296e-34	"0"	"betaTub56D"
"RpL23A"	9.17764122104016e-38	0.584357709485989	0.401	0.308	1.33901785414976e-33	"0"	"RpL23A"
"RpL8"	1.88782671362341e-37	0.581024743152804	0.41	0.32	2.75433917517656e-33	"0"	"RpL8"
"RpL35A"	2.37204739243521e-36	0.772612993945781	0.322	0.232	3.46081714556297e-32	"0"	"RpL35A"
"eIF4A"	2.31197731926954e-35	0.488693303458523	0.461	0.375	3.37317490881425e-31	"0"	"eIF4A"
"Argk"	2.29449187020787e-33	0.28997940148882	0.648	0.553	3.34766363863328e-29	"0"	"Argk"
"awd"	7.59058371715102e-33	0.664075138038658	0.364	0.285	1.10746616433233e-28	"0"	"awd"
"UQCR-C2"	7.73941948333882e-33	0.70518806982433	0.314	0.23	1.12918130261913e-28	"0"	"UQCR-C2"
"RpS19a"	1.43270733534026e-32	0.807137257354646	0.29	0.205	2.09032000226144e-28	"0"	"RpS19a"
"RpL28"	1.67847697748277e-32	0.331673828020142	0.573	0.508	2.44889791014737e-28	"0"	"RpL28"
"Gad1"	7.60653613140051e-30	0.318542194522174	0.448	0.317	1.10979362157133e-25	"0"	"Gad1"
"alphaTub84B"	6.73324549783102e-29	0.255871318222167	0.607	0.536	9.82380518133545e-25	"0"	"alphaTub84B"
"Dh31"	1.87058133213684e-25	0.268525402398918	0.278	0.18	2.72917816358765e-21	"0"	"Dh31"
"Mpcp2"	2.62282844392467e-25	0.59210163925249	0.36	0.297	3.82670669968609e-21	"0"	"Mpcp2"
"UQCR-C1"	9.33998930693114e-25	0.670284824354396	0.31	0.245	1.36270443988125e-20	"0"	"UQCR-C1"
"Vha13"	1.09198477342462e-24	0.3456672388835	0.517	0.474	1.59320578442651e-20	"0"	"Vha13"
"ND-B17"	1.04817469732247e-23	0.811707957210478	0.256	0.19	1.52928688339348e-19	"0"	"ND-B17"
"Ald"	2.33086205206602e-23	0.511350036157439	0.385	0.323	3.40072773396432e-19	"0"	"Ald"
"RpLP0"	5.53163526357296e-19	0.520382576941521	0.352	0.304	8.07065584955295e-15	"0"	"RpLP0"
"RpS14a"	2.23169242630388e-18	0.548117103334292	0.355	0.31	3.25603924997736e-14	"0"	"RpS14a"
"sun"	8.99733339003608e-18	0.328218368428321	0.474	0.445	1.31271094160626e-13	"0"	"sun"
"SdhD"	8.34765520295142e-17	0.749469550267039	0.268	0.22	1.21792289411061e-12	"0"	"SdhD"
"RpL19"	2.11069077260189e-16	0.372647431583602	0.432	0.403	3.07949783722615e-12	"0"	"RpL19"
"Fer2LCH"	1.04623136994376e-14	0.535193560495524	0.321	0.282	1.52645156874795e-10	"0"	"Fer2LCH"
"RpL26"	3.04562642121365e-13	0.332118800152696	0.445	0.429	4.44356894855072e-09	"0"	"RpL26"
"PyK"	4.70517839649104e-11	0.517163548066423	0.307	0.278	6.86485528048043e-07	"0"	"PyK"
"7B2"	1.37042056486761e-10	0.356471399429434	0.397	0.384	1.99944360414184e-06	"0"	"7B2"
"Eno"	3.7618747671488e-10	0.404167052757595	0.332	0.307	5.4885752852701e-06	"0"	"Eno"
"Tsp42Ej"	2.36762246326941e-09	0.596473122471928	0.276	0.256	3.45436117391007e-05	"0"	"Tsp42Ej"
"RpL22"	6.78153493082057e-09	0.495914427071472	0.273	0.242	9.89425946406721e-05	"0"	"RpL22"
"Mdh2"	4.00290437847117e-06	0.528712149181037	0.257	0.245	0.0584023748818944	"0"	"Mdh2"
"CG7781"	1.3596910891234e-05	0.425342118589098	0.318	0.324	0.198378929903104	"0"	"CG7781"
"Sod1"	1.58979338717696e-05	0.393832526926183	0.311	0.312	0.231950855189119	"0"	"Sod1"
"CG6044"	1.90088636141084e-05	0.496652093626497	0.274	0.273	0.277339320129841	"0"	"CG6044"
"ATPsynE"	4.77384512929127e-05	0.255313199069306	0.379	0.395	0.696504004363597	"0"	"ATPsynE"
"igl"	4.89209326083983e-05	0.344713889455032	0.3	0.294	0.713756406756531	"0"	"igl"
"Rack1"	9.29990016307469e-05	0.420817886707356	0.305	0.314	1	"0"	"Rack1"
"Bacc"	0.000407727960829385	0.284864609308988	0.332	0.33	1	"0"	"Bacc"
"CG10077"	0	1.48028651824632	0.839	0.341	0	"1"	"CG10077"
"Sh"	0	1.17861156283761	0.836	0.381	0	"1"	"Sh"
"Rbp1-like"	3.51426307174e-299	1.34285010576296	0.596	0.22	5.12730982166866e-295	"1"	"Rbp1-like"
"para"	7.16642195068255e-270	1.04253059635899	0.769	0.368	1.04558096260458e-265	"1"	"para"
"Rdl"	9.51451885268295e-256	0.922971562163524	0.839	0.418	1.38816830060644e-251	"1"	"Rdl"
"NaCP60E"	4.34905406430093e-244	1.166665220778	0.638	0.291	6.34526987981505e-240	"1"	"NaCP60E"
"Cngl"	2.87185561667717e-240	1.23318079536399	0.729	0.354	4.19003734473199e-236	"1"	"Cngl"
"Hsromega"	2.20558284351972e-219	0.885599911548211	0.898	0.528	3.21794536869527e-215	"1"	"Hsromega"
"unc-13"	8.72998311955334e-215	0.842439906669937	0.732	0.37	1.27370453714283e-210	"1"	"unc-13"
"pum"	2.11688452645326e-210	0.750145691992746	0.862	0.475	3.08853452409531e-206	"1"	"pum"
"nAChRalpha6"	3.72929167121372e-205	1.08811406605989	0.67	0.318	5.44103654830082e-201	"1"	"nAChRalpha6"
"Ten-a"	1.61248355531834e-199	0.842661359980577	0.747	0.379	2.35261350720945e-195	"1"	"Ten-a"
"nAChRbeta1"	2.6863291785771e-196	0.893428787914082	0.683	0.345	3.91935427154399e-192	"1"	"nAChRbeta1"
"slo"	9.35237967318636e-193	0.969985563326601	0.614	0.3	1.36451219431789e-188	"1"	"slo"
"dysc"	2.61837452012129e-189	0.813455246872006	0.686	0.351	3.82020842485696e-185	"1"	"dysc"
"pan"	8.62862371859318e-181	0.929487461184704	0.629	0.324	1.25891620054274e-176	"1"	"pan"
"Syt1"	3.62300610386743e-180	0.793355180235705	0.742	0.393	5.28596590554258e-176	"1"	"Syt1"
"mei-P26"	1.04520891822547e-176	0.688105789947557	0.821	0.455	1.52495981169097e-172	"1"	"mei-P26"
"Msp300"	9.28087776147667e-172	0.82669074703106	0.618	0.309	1.35408006539945e-167	"1"	"Msp300"
"Rbp6"	7.0632481189202e-169	0.821013055277923	0.699	0.365	1.03052790055046e-164	"1"	"Rbp6"
"Sap47"	3.81365784074756e-166	0.629119930312831	0.876	0.492	5.56412678965069e-162	"1"	"Sap47"
"roX1"	4.7176295037204e-165	0.60641443312965	0.944	0.664	6.88302144592807e-161	"1"	"roX1"
"sd"	1.61202687578437e-162	0.929126882786755	0.571	0.289	2.35194721176939e-158	"1"	"sd"
"sbb"	2.65148739644473e-162	0.762476760551021	0.67	0.36	3.86852011141287e-158	"1"	"sbb"
"Pde6"	1.53673713083416e-157	1.08119355669585	0.441	0.18	2.24209947388704e-153	"1"	"Pde6"
"sif"	1.0386373995128e-156	0.8366348187206	0.631	0.331	1.51537196588918e-152	"1"	"sif"
"Bacc1"	1.97930182526502e-155	0.718010527028174	0.664	0.323	2.88780136306166e-151	"1"	"Bacc"
"shep"	1.61879615944293e-154	0.742545028608047	0.856	0.506	2.36182359662724e-150	"1"	"shep"
"chinmo"	2.36554205557584e-152	0.803906223959263	0.618	0.325	3.45132585908515e-148	"1"	"chinmo"
"fne"	1.34384402418675e-150	0.621383870470757	0.808	0.452	1.96066843128847e-146	"1"	"fne"
"cac"	1.98139550218593e-150	1.00687390836633	0.474	0.219	2.89085603768928e-146	"1"	"cac"
"Lar"	8.08820521861869e-149	0.916475198465379	0.55	0.284	1.18006914139647e-144	"1"	"Lar"
"shakB"	1.78771675990788e-147	0.904614193633352	0.552	0.281	2.60827875270559e-143	"1"	"shakB"
"Dscam2"	4.15505781397539e-146	1.03090282705	0.53	0.263	6.0622293505901e-142	"1"	"Dscam2"
"mmd"	7.03506234696335e-144	1.0552477744778	0.419	0.182	1.02641559642195e-139	"1"	"mmd"
"nAChRalpha5"	2.0940870822958e-137	0.902928193369107	0.5	0.247	3.05527305306958e-133	"1"	"nAChRalpha5"
"Rbfox1"	1.05008311932854e-136	0.662995592948241	0.664	0.368	1.53207127110034e-132	"1"	"Rbfox1"
"cindr"	1.54837302358356e-136	0.770942452824357	0.614	0.339	2.25907624140841e-132	"1"	"cindr"
"Hk"	3.13558315846848e-131	0.609535166992667	0.667	0.37	4.57481582820552e-127	"1"	"Hk"
"CG7971"	4.67695764536222e-130	0.759312256153583	0.485	0.225	6.82368120458348e-126	"1"	"CG7971"
"Ptp99A"	1.72745684750604e-124	0.877385638312715	0.552	0.295	2.52035954051131e-120	"1"	"Ptp99A"
"bru3"	2.88615492434009e-124	0.861159114761692	0.552	0.278	4.21090003461219e-120	"1"	"bru3"
"ps"	1.23455927969257e-122	0.519031737722343	0.833	0.491	1.80122198907146e-118	"1"	"ps"
"sm"	9.69164836928426e-122	0.689053516068186	0.617	0.342	1.41401149707857e-117	"1"	"sm"
"nAChRalpha7"	2.51509178809934e-121	0.804814879043218	0.518	0.269	3.66951891883693e-117	"1"	"nAChRalpha7"
"CG45263"	2.9155424744897e-118	0.924193067543263	0.485	0.248	4.25377647028047e-114	"1"	"CG45263"
"CG9821"	6.74090082972434e-117	0.503960010251886	0.895	0.547	9.83497431056782e-113	"1"	"CG9821"
"IA-2"	5.87596150843981e-116	0.69294204153086	0.761	0.463	8.57302784081368e-112	"1"	"IA-2"
"CR42862"	3.86440905201153e-115	0.877747810133853	0.474	0.248	5.63817280688482e-111	"1"	"CR42862"
"Ih"	1.15033096857198e-114	0.559592064963612	0.662	0.376	1.67833288314652e-110	"1"	"Ih"
"mt:ND61"	5.28946643897899e-114	0.483286398211041	0.696	0.372	7.71733153447034e-110	"1"	"mt:ND6"
"Rim"	6.82598139292043e-114	0.7904084796947	0.518	0.284	9.95910685227091e-110	"1"	"Rim"
"Pitslre"	4.1161403012535e-112	0.868212426083236	0.476	0.255	6.00544869952886e-108	"1"	"Pitslre"
"cpo"	5.5721507543334e-111	0.705002183894236	0.53	0.289	8.12976795057243e-107	"1"	"cpo"
"Glut4EF"	7.1706163976334e-107	0.714103166330992	0.548	0.316	1.04619293241471e-102	"1"	"Glut4EF"
"tutl"	7.5668307001925e-107	0.817591024835116	0.467	0.247	1.10400059915809e-102	"1"	"tutl"
"rg"	1.79909165860982e-106	0.707397665009975	0.522	0.289	2.62487472991173e-102	"1"	"rg"
"hth"	7.05548971311959e-106	0.668521579912292	0.645	0.371	1.02939594914415e-101	"1"	"hth"
"sdt"	2.09506386097141e-105	0.911415023387773	0.435	0.228	3.05669817315728e-101	"1"	"sdt"
"Syp"	1.00360400519569e-104	0.572240500718848	0.669	0.403	1.46425824358051e-100	"1"	"Syp"
"inaE"	5.11285322007762e-101	0.920581437361993	0.411	0.21	7.45965284809325e-97	"1"	"inaE"
"dlg1"	5.85135719073892e-99	0.613054951306486	0.548	0.319	8.53713014128809e-95	"1"	"dlg1"
"msi"	9.42992027519402e-98	0.726129372260781	0.528	0.297	1.37582536815081e-93	"1"	"msi"
"SK"	2.1864081615335e-97	0.923849193548682	0.394	0.2	3.18996950767738e-93	"1"	"SK"
"Nckx30C"	7.10464412826909e-97	0.655324145726747	0.519	0.292	1.03656757831446e-92	"1"	"Nckx30C"
"qvr"	1.60635367971188e-96	0.607960841131406	0.572	0.334	2.34367001869963e-92	"1"	"qvr"
"spen"	3.72628460232179e-94	0.603451635873337	0.563	0.338	5.43664923478749e-90	"1"	"spen"
"Liprin-gamma"	7.17274303987314e-94	0.703331775955837	0.518	0.304	1.04650320951749e-89	"1"	"Liprin-gamma"
"pros"	7.69182232713699e-94	0.665994576600131	0.756	0.499	1.12223687752929e-89	"1"	"pros"
"jim"	1.476866933361e-93	0.484816837981167	0.862	0.541	2.15474885577369e-89	"1"	"jim"
"Pur-alpha"	7.8205411671692e-89	0.612518392049018	0.518	0.299	1.14101695628999e-84	"1"	"Pur-alpha"
"Prosap"	1.79944958080169e-88	0.719600357733981	0.469	0.272	2.62539693838967e-84	"1"	"Prosap"
"Frq1"	9.90394870468169e-87	0.511284488543815	0.581	0.342	1.44498611601306e-82	"1"	"Frq1"
"CG42750"	1.63514773006698e-85	0.846522902602597	0.4	0.209	2.38568053816772e-81	"1"	"CG42750"
"Pdp1"	2.49702658347133e-85	0.408928877542813	0.824	0.507	3.64316178528467e-81	"1"	"Pdp1"
"CG11155"	1.64747520194081e-80	0.843374274430681	0.338	0.167	2.40366631963164e-76	"1"	"CG11155"
"Nlg3"	1.73341549127695e-80	0.836715617749178	0.43	0.239	2.52905320177308e-76	"1"	"Nlg3"
"CG43729"	1.46917427960351e-78	0.850425331694585	0.403	0.217	2.14352527394153e-74	"1"	"CG43729"
"cpx"	1.49898761190178e-78	0.394262585030273	0.86	0.565	2.18702292576469e-74	"1"	"cpx"
"CG1677"	8.7316741277062e-78	0.814836156207395	0.419	0.245	1.27395125523233e-73	"1"	"CG1677"
"Bsg"	2.46777035495426e-77	0.487126047752851	0.557	0.346	3.60047694787826e-73	"1"	"Bsg"
"Unr"	3.70982811637124e-77	0.393065673847113	0.706	0.427	5.41263922178564e-73	"1"	"Unr"
"Hrb27C"	5.06219868755183e-77	0.518936743552023	0.498	0.3	7.38574788513811e-73	"1"	"Hrb27C"
"Atpalpha"	4.15406866346813e-76	0.347150892776575	0.907	0.61	6.06078618e-72	"1"	"Atpalpha"
"klg"	5.53504935109875e-76	0.687229994795732	0.507	0.293	8.07563700325308e-72	"1"	"klg"
"trv"	3.44259607519628e-74	0.592604927475639	0.482	0.279	5.02274767371137e-70	"1"	"trv"
"jeb"	9.32502425296483e-73	0.663720503405487	0.436	0.24	1.36052103850757e-68	"1"	"jeb"
"CG6329"	1.91624499782556e-72	0.384065198487268	0.701	0.43	2.79580145182749e-68	"1"	"CG6329"
"Appl"	2.47408400195224e-71	0.485135482389346	0.493	0.295	3.60968855884832e-67	"1"	"Appl"
"CG32017"	4.51466656600662e-71	0.65980267811654	0.437	0.246	6.58689851980366e-67	"1"	"CG32017"
"CG42260"	5.86408375436896e-71	0.82600497665441	0.388	0.223	8.55569819762431e-67	"1"	"CG42260"
"CG31712"	6.87840968619541e-71	0.72587577442242	0.432	0.262	1.00355997321591e-66	"1"	"CG31712"
"nSyb"	8.21385865230572e-71	0.456444230916183	0.578	0.344	1.1984019773714e-66	"1"	"nSyb"
"cdi"	3.62041162887839e-69	0.66645485035843	0.404	0.238	5.28218056653356e-65	"1"	"cdi"
"CG16779"	4.84870283144157e-69	0.669601720929987	0.423	0.252	7.07425743107325e-65	"1"	"CG16779"
"Syx1A"	1.35854959528194e-68	0.351434304331019	0.76	0.457	1.98212385951636e-64	"1"	"Syx1A"
"CG42492"	1.7966263448976e-63	0.824869856126168	0.319	0.171	2.6212778372056e-59	"1"	"CG42492"
"Ggamma30A"	2.78295293232522e-63	0.399088002071486	0.655	0.407	4.06032832826249e-59	"1"	"Ggamma30A"
"nmo"	1.00422603068896e-62	0.560176586326448	0.466	0.295	1.46516577877519e-58	"1"	"nmo"
"dnc"	3.68494681518297e-62	0.650462158249483	0.437	0.278	5.37633740335195e-58	"1"	"dnc"
"scrt"	3.91287145319412e-61	0.419000102556878	0.518	0.326	5.70887945021022e-57	"1"	"scrt"
"GluClalpha"	2.8083628948873e-60	0.794093915864115	0.332	0.184	4.09740146364057e-56	"1"	"GluClalpha"
"Sema1a"	4.4472532440404e-60	0.650472961984336	0.389	0.232	6.48854248305494e-56	"1"	"Sema1a"
"bol"	1.09524780877019e-59	0.694738739788921	0.378	0.225	1.5979665529957e-55	"1"	"bol"
"Pde9"	5.58965053475226e-59	0.732283888445693	0.367	0.214	8.15530013020355e-55	"1"	"Pde9"
"Hasp"	3.43679310394628e-58	0.347624951138033	0.625	0.397	5.01428113865763e-54	"1"	"Hasp"
"hig"	1.13105388150056e-57	0.643008282116873	0.366	0.204	1.65020761310931e-53	"1"	"hig"
"mamo"	2.89109909335107e-57	0.745740174904602	0.383	0.212	4.21811357719921e-53	"1"	"mamo"
"mtd"	3.72143262357298e-57	0.652749870297389	0.382	0.232	5.42957019779298e-53	"1"	"mtd"
"Tob"	5.57172863114964e-57	0.500968507607755	0.428	0.27	8.12915207284733e-53	"1"	"Tob"
"fs(1)h"	3.52414672328477e-56	0.62275464791614	0.382	0.236	5.14173006927248e-52	"1"	"fs(1)h"
"CG17816"	8.87484737453863e-56	0.577513649505733	0.352	0.205	1.29484023194519e-51	"1"	"CG17816"
